# Cross-series bitGANs attribute catalogue, transcribed from the artist Pindar Van Arman's
# own published journal page. 513 rows, columns Number,Title,Name,GANg,SubType,Type,Eyes,
# Dimensions,Essence,Drop,Level. This table spans several of the artist's NFT series; only
# 8 of its 513 rows belong to the cryptoArtGAN / Act 1 series that holds this puzzle's prize
# (GANg column == 'cryptoArtGAN'), so any count taken from this file alone is scoped to the
# catalogue, not to the 512-piece Act 1 series specifically. See the README for detail.
Number,Title,Name,GANg,SubType,Type,Eyes,Dimensions,Essence,Drop,Level
62,Nebulous skullGAN,,skullGAN,Nebulous,Skull,2,3,amateur,skullGANs,1
63,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,4,4,amazing,skullGANs,1
64,Silver skullGAN,,skullGAN,Silver,Skull,4,3,among,skullGANs,1
65,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,3,4,amount,skullGANs,1
66,Rainbow Ghost skullGAN,,skullGAN,Rainbow,Ghost,3,3,amused,skullGANs,1
67,Nebulous Shimmer skullGAN,,skullGAN,Nebulous,Shimmer,3,2,analyst,skullGANs,1
68,Rainbow Shimmer skullGAN,,skullGAN,Rainbow,Shimmer,2,3,anchor,skullGANs,1
69,Flaming skullGAN,,skullGAN,Flaming,Skull,3,3,ancient,skullGANs,1
70,Rainbow Shimmer skullGAN,,skullGAN,Rainbow,Shimmer,2,3,anger,skullGANs,1
71,Rainbow Shimmer skullGAN,,skullGAN,Rainbow,Shimmer,3,2,angle,skullGANs,1
72,Rainbow Glitch skullGAN,,skullGAN,Rainbow,Glitch,3,4,angry,skullGANs,1
73,Twin Glitch skullGAN,,skullGAN,Twin,Gltich,6,4,animal,skullGANs,1
74,Slender skullGAN,,skullGAN,Slender,Skull,3,4,ankle,skullGANs,1
75,Flaming Glitch skullGAN,,skullGAN,Flaming,Glitch,3,4,announce,skullGANs,1
76,Rainbow skullGAN,,skullGAN,Rainbow,Skull,3,4,annual,skullGANs,1
77,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,2,4,another,skullGANs,1
78,Primordial skullGAN,,skullGAN,Primordial,Skull,6,4,answer,skullGANs,1
79,Slender Glitch skullGAN,,skullGAN,Slender,Glitch,2,3,antenna,skullGANs,1
80,Rainbow skullGAN,,skullGAN,Rainbow,Skull,2,4,antique,skullGANs,1
81,Silver Ghost skullGAN,,skullGAN,Silver,Ghost,5,4,anxiety,skullGANs,1
82,Flaming skullGAN,,skullGAN,Flaming,Skull,2,4,any,skullGANs,1
83,Rainbow Glitch skullGAN,,skullGAN,Rainbow,Glitch,2,3,apart,skullGANs,1
84,Rainbow Glitch skullGAN,,skullGAN,Rainbow,Glitch,3,4,apology,skullGANs,1
85,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,3,4,appear,skullGANs,1
86,Rainbow Glitch skullGAN,,skullGAN,Rainbow,Glitch,6,4,apple,skullGANs,1
87,Flaming skullGAN,,skullGAN,Flaming,Skull,3,4,approve,skullGANs,1
88,Slender skullGAN,,skullGAN,Slender,Skull,2,4,april,skullGANs,1
89,Primordial sharkGAN,,sharkGAN,Primordial,Smoke,2,5,arch,skullGANs,1
90,Rainbow Glitch skullGAN,,skullGAN,Rainbow,Glitch,3,4,arctic,skullGANs,1
91,Flaming skullGAN,,skullGAN,Flaming,Skull,2,3,area,skullGANs,1
92,Rainbow skullGAN,,skullGAN,Rainbow,Skull,2,3,arena,skullGANs,1
93,Flaming skullGAN,,skullGAN,Flaming,Skull,3,3,argue,skullGANs,1
94,Rainbow skullGAN,,skullGAN,Rainbow,Skull,3,3,arm,skullGANs,1
95,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,2,4,armed,skullGANs,1
96,Rainbow skullGAN,,skullGAN,Rainbow,Skull,3,3,armor,skullGANs,1
97,Slender Glitch skullGAN,,skullGAN,Slender,Glitch,2,4,army,skullGANs,1
98,Nebulous skullGAN,,skullGAN,Nebulous,Skull,5,3,around,skullGANs,1
99,Flaming Cronenberg skullGAN,,skullGAN,Flaming,Cronenberg,5,4,arrange,skullGANs,1
100,Primordial Smoke skullGAN,,skullGAN,Primordial,Smoke,9,4,arrest,skullGANs,1
101,Nebulous Glitch skullGAN,,skullGAN,Nebulous,Glitch,3,4,arrive,skullGANs,1
102,Nebulous Glitch skullGAN,,skullGAN,Nebulous,Glitch,5,3,arrow,skullGANs,1
103,Slender Glitch skullGAN,,skullGAN,Slender,Glitch,3,4,art,skullGANs,1
104,Rainbow Shimmer skullGAN,,skullGAN,Rainbow,Shimmer,2,4,artefact,skullGANs,1
105,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,2,4,artist,skullGANs,1
106,Rainbow skullGAN,,skullGAN,Rainbow,Skull,3,4,artwork,skullGANs,1
107,Slender Glitch skullGAN,,skullGAN,Slender,Glitch,3,4,ask,skullGANs,1
108,Rainbow skullGAN,,skullGAN,Rainbow,Skull,4,4,aspect,skullGANs,1
